Output for MSHD,
375,
375,
368,
377,
386,
361,
356,
366,
372,
353,
392,
381,
394,
395,
365,
366,
400,
368,
371,
382,
229,
244,
236,
240,
237,
252,
240,
246,
221,
231,
228,
228,
245,
225,
247,
210,
248,
224,
259,
230,
378,
327,
351,
362,
373,
354,
354,
339,
339,
377,
349,
373,
384,
364,
359,
355,
329,
365,
368,
358,
305,
328,
269,
310,
308,
304,
283,
294,
325,
311,
302,
329,
327,
321,
305,
319,
314,
284,
300,
293,
372,
397,
410,
380,
383,
384,
397,
394,
391,
387,
374,
413,
410,
392,
388,
379,
406,
374,
398,
390,
347,
341,
343,
348,
334,
345,
314,
337,
347,
343,
371,
343,
344,
326,
357,
328,
324,
317,
331,
316,
174,
162,
166,
161,
157,
160,
168,
157,
166,
158,
156,
160,
145,
161,
163,
177,
152,
180,
152,
162,
165,
161,
176,
180,
163,
174,
171,
186,
155,
167,
161,
171,
170,
151,
161,
175,
172,
174,
150,
155,
293,
240,
258,
242,
267,
257,
245,
253,
262,
252,
261,
264,
292,
260,
245,
261,
264,
287,
290,
250,
335,
307,
306,
321,
303,
307,
336,
310,
315,
339,
333,
321,
293,
313,
310,
332,
319,
310,
329,
307,
377,
383,
390,
374,
386,
371,
376,
374,
388,
398,
385,
351,
387,
387,
381,
393,
366,
380,
371,
395,
287,
308,
301,
297,
307,
333,
314,
308,
298,
308,
322,
315,
300,
315,
311,
312,
313,
300,
316,
297,
307,
333,
314,
308,
298,
308,
322,
298,
